,cetes_mxn,e_E11_mxn,ml_LogisticRegression_mxn,ga_mxn
2022-07-18,677145.93,811253.70,926441.31,611402.82
2022-07-19,677355.99,804353.63,919738.38,611233.28
2022-07-20,677566.13,799988.22,920725.71,611063.79
2022-07-21,677776.32,796045.31,926868.90,610894.35
2022-07-22,677986.58,788581.96,920123.14,610724.95
2022-07-25,678196.91,783371.71,922303.65,610555.60
2022-07-26,678407.30,793651.43,919907.83,610386.30
2022-07-27,678617.76,800149.79,927956.31,610217.05
2022-07-28,678828.28,800149.79,923688.23,610047.84
2022-07-29,679038.87,807405.75,924954.60,609878.68
2022-08-01,689263.48,794072.82,930088.14,619706.79
2022-08-02,689488.17,793645.96,932240.06,619534.95
2022-08-03,689712.92,776288.55,932292.37,619363.16
2022-08-04,689937.75,792507.76,935470.47,619191.41
2022-08-05,690162.66,806450.66,934193.46,619019.72
2022-08-08,690387.63,800901.99,934828.99,618848.07
2022-08-09,690612.69,797771.95,929822.05,618676.46
2022-08-10,690837.81,803036.07,937904.53,618504.91
2022-08-11,691063.01,805597.01,936244.01,618333.40
2022-08-12,691288.28,806166.11,937445.90,618161.94
2022-08-15,691513.62,788666.39,933376.14,617990.53
2022-08-16,691739.04,792365.52,932680.89,617819.17
2022-08-17,691964.53,802466.97,932084.73,617647.85
2022-08-18,692190.09,784398.16,926912.23,617476.58
2022-08-19,692415.73,807446.54,933596.79,617305.36
2022-08-22,692641.44,808300.19,934624.82,617134.19
2022-08-23,692867.23,793788.27,926656.40,616963.06
2022-08-24,693093.09,787243.65,918131.36,616791.98
2022-08-25,693319.02,788808.63,922732.59,616620.95
2022-08-26,693545.03,790373.68,921676.25,616449.97
2022-08-29,693771.11,765902.55,911555.75,616279.03
2022-08-30,693997.26,770313.02,912529.04,616108.14
2022-08-31,694223.49,751532.87,918418.05,615937.30
2022-09-01,704468.46,755841.89,917937.10,625763.73
2022-09-02,704713.51,755415.04,920241.84,625590.21
2022-09-05,704958.65,768788.83,927627.62,625416.74
2022-09-06,705203.87,758829.62,921869.38,625243.32
2022-09-07,705449.18,739053.51,921926.90,625069.94
2022-09-08,705694.58,754988.25,928156.85,624896.61
2022-09-09,705940.06,759967.82,931836.28,624723.34
2022-09-12,706185.62,768788.83,939326.73,624550.10
2022-09-13,706431.27,752019.09,936904.82,624376.92
2022-09-14,706677.01,748452.42,930662.58,624203.79
2022-09-15,706922.83,787400.22,945013.46,624030.70
2022-09-16,707168.74,,945013.46,623857.66
2022-09-19,707414.73,775273.64,935423.94,623684.67
2022-09-20,707660.81,785260.21,945082.14,623511.73
2022-09-21,707906.98,789540.24,953416.58,623338.83
2022-09-22,708153.22,791680.18,953795.94,623165.99
